Date,Target_Price,Sentiment_GDELT,VIX_Close,logP,ret_log
2015-02-17,98.8842,-7.3944,15.85,4.593949468535468,
2015-02-18,99.0229,0.5546,16.74,4.595351136517146,0.0014016679816784006
2015-02-19,99.5126,0.1916,16.11,4.600284269313073,0.004933132795927442
2015-02-20,100.1779,-1.1567,15.73,4.6069476054418415,0.006663336128768016
2015-02-23,100.2796,-1.1297,15.05,4.607962284450865,0.0010146790090237445
2015-02-24,100.3535,1.0705,14.5,4.608698952561381,0.0007366681105160922
2015-02-25,100.104,1.2268,13.64,4.606209645562754,-0.00248930699862715
2015-02-26,100.6122,0.9738,13.55,4.6112735226785455,0.005063877115791371
2015-02-27,100.1687,-0.087,14.07,4.606855764601953,-0.004417758076592726
2015-03-02,101.0743,-0.214,13.9,4.615855889952519,0.009000125350565824
2015-03-03,100.603,-0.7153,13.35,4.611182078294558,-0.004673811657960769
2015-03-04,100.2149,0.4206,14.28,4.60731688019044,-0.003865198104118228
2015-03-05,100.3905,-3.3698,14.01,4.609067581266787,0.0017507010763475606
2015-03-06,99.2539,-0.526,14.61,4.59768121350561,-0.011386367761176963
2015-03-09,99.5403,-0.4144,15.72,4.60056258728964,0.0028813737840298614
2015-03-10,97.6922,1.0493,16.47,4.581821719628288,-0.018740867661351857
2015-03-11,97.1285,-1.2864,16.44,4.576034844074565,-0.00578687555372337
2015-03-12,97.7661,0.0968,16.45,4.582577891185303,0.006543047110738165
2015-03-13,97.341,0.9507,15.47,4.578220277621493,-0.004357613563810148
2015-03-16,98.5978,-3.1866,15.78,4.59104894898644,0.012828671364947475
2015-03-17,98.7549,-0.5767,16.31,4.592641022803352,0.001592073816911288
2015-03-18,99.7251,-2.3482,14.6,4.602417400548551,0.009776377745199127
2015-03-19,99.873,-1.3431,14.68,4.603899378854646,0.0014819783060948666
2015-03-20,100.5195,-0.3405,13.52,4.61035173852852,0.006452359673874142
2015-03-23,100.325,0.0735,13.52,4.608414916152981,-0.001936822375538938
2015-03-24,99.9637,0.6215,13.36,4.604807120087643,-0.003607796065337787
2015-03-25,97.6761,-0.9704,13.26,4.581656902715448,-0.023150217372195137
2015-03-26,97.3426,-1.2833,16.64,4.57823671454787,-0.00342018816757772
2015-03-27,97.7316,-1.8394,15.73,4.582224945852871,0.003988231305000589
2015-03-30,98.8523,-0.6503,14.76,4.593626816923077,0.011401871070206404
2015-03-31,97.8057,-0.3431,14.97,4.582982857551019,-0.010643959372058198
2015-04-01,97.2963,-0.2991,15.32,4.577760961747446,-0.00522189580357324
2015-04-02,97.3612,0.322,15.3,4.578427773993619,0.0006668122461732651
2015-04-06,98.1577,-0.9506,15.75,4.586575368995298,0.008147595001679164
2015-04-07,97.991,-1.0926,14.57,4.584875637718627,-0.0016997312766715567
2015-04-08,98.769,-1.8387,14.59,4.592783790337042,0.007908152618415265
2015-04-09,99.3895,-3.0151,14.14,4.599046474280068,0.006262683943026204
2015-04-10,99.797,-2.5388,13.2,4.603138122745364,0.004091648465295528
2015-04-13,99.547,-0.5426,13.17,4.600629894445873,-0.0025082282994910443
2015-04-14,99.2598,-1.3167,14.34,4.597740655246929,-0.002889239198943905
2015-04-15,99.8804,-1.3643,13.58,4.60397347020932,0.006232814962391586
2015-04-16,99.7415,-1.6748,13.27,4.602581839106555,-0.0013916311027655226
2015-04-17,98.1855,0.9975,13.97,4.586858546616788,-0.015723292489767005
2015-04-20,99.6581,-0.6871,13.67,4.601745327851133,0.014886781234345392
2015-04-21,100.0841,-0.2114,12.75,4.606010832545741,0.004265504694608069
2015-04-22,100.6306,-2.006,12.97,4.611456386364115,0.005445553818374194
2015-04-23,101.0103,-3.8761,12.96,4.615222491839653,0.0037661054755373513
2015-04-24,102.3811,0.414,12.21,4.628702125257711,0.01347963341805869
2015-04-27,102.1218,0.2633,12.34,4.6261662185399155,-0.0025359067177959105
2015-04-28,101.918,-0.1294,13.26,4.6241685683974065,-0.0019976501425089666
2015-04-29,101.2789,-1.4438,13.44,4.617878097357422,-0.006290471039984702
2015-04-30,99.6859,0.5192,13.89,4.602024242693619,-0.015853854663802736
2015-05-01,101.0011,-1.9312,13.98,4.615131407871061,0.013107165177442148
2015-05-04,101.1678,-0.0212,13.12,4.616780524404609,0.001649116533547712
2015-05-05,99.5192,-3.118,13.21,4.600350590373351,-0.016429934031258142
2015-05-06,98.8338,-0.9554,13.93,4.593439651512317,-0.006910938861033777
2015-05-07,99.4265,-2.3325,15.48,4.599418677728756,0.005979026216438754
2015-05-08,100.6677,1.2208,13.36,4.611824993554738,0.012406315825982617
2015-05-11,100.2786,-0.3964,13.35,4.607952312283184,-0.003872681271554157
2015-05-12,99.8248,-1.4245,14.73,4.603416649441142,-0.004535662842042321
2015-05-13,100.0286,-0.7508,13.63,4.605456145097888,0.002039495656745771
2015-05-14,101.492,-1.582,13.14,4.619979977641571,0.01452383254368339
2015-05-15,101.492,0.3851,12.46,4.619979977641571,0.0
2015-05-18,101.9365,-2.416,13.08,4.624350070400558,0.004370092758986921
2015-05-19,101.8254,-2.149,12.95,4.623259581835133,-0.0010904885654250407
2015-05-20,101.8902,0.0816,12.9,4.623895762885435,0.0006361810503019427
2015-05-21,102.4181,-2.1936,13.03,4.629063454798086,0.005167691912650874
2015-05-22,102.3163,-2.7853,12.37,4.62806899555343,-0.0009944592446560208
2015-05-26,101.14,0.5113,13.45,4.616505695651837,-0.011563299901593105
2015-05-27,102.7701,-1.6352,14.16,4.632494454683117,0.01598875903128061
2015-05-28,102.5386,-2.4746,13.49,4.630239313053845,-0.00225514162927265
2015-05-29,101.9273,-0.5593,13.59,4.624259814062687,-0.0059794989911576835
2015-06-01,102.2699,-0.2607,13.92,4.6276153970135905,0.003355582950903546
2015-06-02,101.9458,-1.4504,14.72,4.6244412995068265,-0.0031740975067640065
2015-06-03,102.2514,-1.7613,13.73,4.627434486760718,0.002993187253891527
2015-06-04,101.4734,1.1015,14.57,4.619796695170253,-0.007637791590465071
2015-06-05,101.2326,-1.5891,15.01,4.617420839366575,-0.0023758558036774957
2015-06-08,100.2046,-0.1562,14.84,4.607214095780649,-0.010206743585926326
2015-06-09,100.0379,-1.5487,15.18,4.605549114185733,-0.0016649815949163482
2015-06-10,101.4086,-1.6493,14.24,4.6191579001839695,0.013608785998236783
2015-06-11,101.5568,-1.676,13.04,4.620618247872175,0.0014603476882051325
2015-06-12,100.7232,-4.212,13.31,4.6123761604784175,-0.008242087393757203
2015-06-15,100.2231,-1.7723,15.48,4.607398701002906,-0.004977459475511203
2015-06-16,100.7695,-1.0294,15.62,4.612835730485816,0.005437029482910027
2015-06-17,101.0474,-2.4185,14.66,4.6155897136818975,0.0027539831960812222
2015-06-18,102.52,0.1108,14.03,4.630057901495871,0.014468187813973188
2015-06-19,102.0132,-2.717,13.35,4.625102216675997,-0.004955684819873518
2015-06-22,102.7651,0.3982,13.42,4.632445801216451,0.007343584540453918
2015-06-23,102.8487,-0.8076,12.5,4.633258976252433,0.0008131750359821055
2015-06-24,102.3195,0.107,12.57,4.628100270628468,-0.005158705623965254
2015-06-25,102.1153,-2.9466,12.96,4.626102567028979,-0.0019977035994891423
2015-06-26,101.4376,-1.3007,14.13,4.619443831103037,-0.0066587359259422385
2015-06-29,99.0425,-1.6077,16.7,4.595549050944037,-0.02389478015899993
2015-06-30,99.3953,-1.2733,17.6,4.599104828842406,0.00355577789836925
2015-07-01,100.1844,0.4733,16.63,4.607012487907278,0.007907659064872341
2015-07-02,100.2122,-0.9902,15.43,4.607289937726071,0.00027744981879251895
2015-07-06,99.9801,0.1313,18.65,4.604971166184964,-0.002318771541106379
2015-07-07,100.2308,-1.0629,17.22,4.6074755266471445,0.0025043604621801663
2015-07-08,98.4856,-3.54,17.38,4.58991034459742,-0.017565182049724903
2015-07-09,98.4299,-2.2218,17.46,4.589344619690182,-0.000565724907237275
2015-07-10,99.9337,-0.9877,17.45,4.604506966106398,0.015162346416215833
2015-07-13,101.6883,-1.6341,15.29,4.62191225218863,0.017405286082231797
2015-07-14,102.3567,-0.4459,13.91,4.628463771615975,0.006551519427344665
2015-07-15,102.4681,-1.0853,13.35,4.629551530627425,0.0010877590114501956
2015-07-16,103.9162,-0.2823,12.59,4.643584805104085,0.014033274476660473
2015-07-17,105.448,-0.1681,11.77,4.6582179404101645,0.014633135306079126
2015-07-20,105.81,0.7555,12.25,4.66164503291607,0.003427092505905449
2015-07-21,105.745,-1.151,12.42,4.661030535484714,-0.0006144974313562201
2015-07-22,104.5475,-0.1253,12.77,4.64964151358492,-0.011389021899793406
2015-07-23,104.1576,-0.0904,12.06,4.645905136720146,-0.003736376864774016
2015-07-24,103.1364,0.5238,12.87,4.636052383999692,-0.009852752720454383
2015-07-27,102.2824,-0.5843,15.6,4.6277376151457315,-0.00831476885396043
2015-07-28,103.1643,0.2337,14.87,4.636322862967239,0.00858524782150738
2015-07-29,103.5542,-1.8025,13.57,4.64009514713494,0.0037722841677014785
2015-07-30,104.0462,0.3225,12.72,4.644835031269327,0.0047398841343868625
2015-07-31,103.9255,-2.2416,12.03,4.643674296289023,-0.0011607349803037792
2015-08-03,103.6006,-1.0765,12.85,4.640543121314403,-0.0031311749746203432
2015-08-04,103.4056,-1.732,12.66,4.638659119215155,-0.0018840020992483275
2015-08-05,104.204,1.3467,12.02,4.646350516298408,0.007691397083252838
2015-08-06,102.533,-0.1889,12.2,4.630184697982802,-0.016165818315605485
2015-08-07,102.4031,-1.2821,13.57,4.628916985584676,-0.001267712398125731
2015-08-10,103.5727,-2.4852,12.73,4.640273781586083,0.011356796001406266
2015-08-11,102.2453,0.0505,13.24,4.627374828096282,-0.012898953489800746
2015-08-12,102.598,0.1307,15.19,4.630818439369286,0.003443611273004521
2015-08-13,102.4309,-1.7034,13.87,4.629188424898175,-0.0016300144711109965
2015-08-14,102.5888,-1.696,13.69,4.630728764984715,0.0015403400865396932
2015-08-17,103.4428,-0.4331,14.32,4.639018802929421,0.00829003794470573
2015-08-18,102.9136,-0.7048,13.41,4.63388980125927,-0.0051290016701504015
2015-08-19,102.2359,1.7727,14.84,4.627282888103689,-0.00660691315558104
2015-08-20,99.4046,0.5284,16.55,4.5991983902577465,-0.028084497845942913
2015-08-21,95.0601,-0.7932,22.55,4.554509323152489,-0.04468906710525733
2015-08-24,91.4025,0.2637,28.03,4.51527283038363,-0.03923649276885932
2015-08-25,91.059,-2.3974,31.13,4.5115076480760745,-0.0037651823075552926
2015-08-26,95.6449,-3.4826,31.13,4.56064237507111,0.049134726995035294
2015-08-27,98.0678,-1.9989,27.11,4.5856590761965546,0.02501670112544474
2015-08-28,98.0493,0.3197,26.69,4.585470413402184,-0.00018866279437013134
2015-08-31,96.8332,-1.1209,27.03,4.572989910686592,-0.012480502715592756
2015-09-01,93.8068,-0.5739,31.91,4.541237348054077,-0.0317525626325148
2015-09-02,96.4525,-1.7568,29.14,4.5690506591817055,0.027813311127628637
2015-09-03,95.9791,-3.1381,25.21,4.5641304594326035,-0.004920199749101961
