Date,Target_Price
2015-02-17,98.88424682617188
2015-02-18,99.0228500366211
2015-02-19,99.5125961303711
2015-02-20,100.17792510986328
2015-02-23,100.27955627441406
2015-02-24,100.35350036621094
2015-02-25,100.10401153564452
2015-02-26,100.61224365234376
2015-02-27,100.16869354248048
2015-03-02,101.07427215576172
2015-03-03,100.60301208496094
2015-03-04,100.21487426757812
2015-03-05,100.39045715332033
2015-03-06,99.25385284423828
2015-03-09,99.5403289794922
2015-03-10,97.69217681884766
2015-03-11,97.1285171508789
2015-03-12,97.76614379882812
2015-03-13,97.34104919433594
2015-03-16,98.59776306152344
2015-03-17,98.75487518310548
2015-03-18,99.72512817382812
2015-03-19,99.87297058105467
2015-03-20,100.51945495605467
2015-03-23,100.32498168945312
2015-03-24,99.96372985839844
2015-03-25,97.6760711669922
2015-03-26,97.34263610839844
2015-03-27,97.73162841796876
2015-03-30,98.8523406982422
2015-03-31,97.80574035644533
2015-04-01,97.29631805419922
2015-04-02,97.36116027832033
2015-04-06,98.1576690673828
2015-04-07,97.99098205566406
2015-04-08,98.76895904541016
2015-04-09,99.3895034790039
2015-04-10,99.79702758789062
2015-04-13,99.5469741821289
2015-04-14,99.25984191894533
2015-04-15,99.88035583496094
2015-04-16,99.7414779663086
2015-04-17,98.18548583984376
2015-04-20,99.65811157226562
2015-04-21,100.08414459228516
2015-04-22,100.6305923461914
2015-04-23,101.01034545898438
2015-04-24,102.381103515625
2015-04-27,102.1218032836914
2015-04-28,101.9180145263672
2015-04-29,101.27894592285156
2015-04-30,99.68589782714844
2015-05-01,101.00109100341795
2015-05-04,101.1678237915039
2015-05-05,99.51917266845705
2015-05-06,98.8337860107422
2015-05-07,99.42654418945312
2015-05-08,100.66765594482422
2015-05-11,100.27864837646484
2015-05-12,99.82482147216795
2015-05-13,100.02857208251952
2015-05-14,101.49195861816406
2015-05-15,101.49195861816406
2015-05-18,101.93649291992188
2015-05-19,101.8253936767578
2015-05-20,101.89020538330078
2015-05-21,102.41814422607422
2015-05-22,102.31626892089844
2015-05-26,101.1400146484375
2015-05-27,102.77010345458984
2015-05-28,102.53855895996094
2015-05-29,101.92727661132812
2015-06-01,102.26994323730467
2015-06-02,101.94580841064452
2015-06-03,102.25142669677734
2015-06-04,101.4734344482422
2015-06-05,101.23262786865234
2015-06-08,100.20455169677734
2015-06-09,100.03785705566406
2015-06-10,101.40858459472656
2015-06-11,101.5567855834961
2015-06-12,100.72323608398438
2015-06-15,100.22308349609376
2015-06-16,100.76953887939452
2015-06-17,101.0474090576172
2015-06-18,102.52003479003906
2015-06-19,102.01316833496094
2015-06-22,102.76512908935548
2015-06-23,102.84867095947266
2015-06-24,102.3195343017578
2015-06-25,102.11526489257812
2015-06-26,101.43761444091795
2015-06-29,99.04254150390624
2015-06-30,99.39529418945312
2015-07-01,100.1843719482422
2015-07-02,100.21222686767578
2015-07-06,99.9801254272461
2015-07-07,100.23078155517578
2015-07-08,98.48555755615234
2015-07-09,98.42985534667967
2015-07-10,99.93372344970705
2015-07-13,101.68827056884766
2015-07-14,102.35667419433594
2015-07-15,102.46805572509766
2015-07-16,103.91620635986328
2015-07-17,105.4479522705078
2015-07-20,105.81000518798828
2015-07-21,105.7450180053711
2015-07-22,104.5474853515625
2015-07-23,104.1575698852539
2015-07-24,103.1364288330078
2015-07-27,102.28238677978516
2015-07-28,103.1642837524414
2015-07-29,103.5541763305664
2015-07-30,104.04620361328124
2015-07-31,103.92547607421876
2015-08-03,103.60059356689452
2015-08-04,103.40564727783205
2015-08-05,104.20403289794922
2015-08-06,102.53303527832033
2015-08-07,102.40309143066406
2015-08-10,103.57274627685548
2015-08-11,102.24525451660156
2015-08-12,102.5979995727539
2015-08-13,102.43091583251952
2015-08-14,102.58875274658205
2015-08-17,103.44277954101562
2015-08-18,102.91364288330078
2015-08-19,102.2359390258789
2015-08-20,99.40460205078124
2015-08-21,95.0600814819336
2015-08-24,91.4024658203125
2015-08-25,91.05899047851562
2015-08-26,95.6448974609375
2015-08-27,98.06781768798828
2015-08-28,98.04925537109376
2015-08-31,96.8331527709961
2015-09-01,93.80683135986328
2015-09-02,96.45254516601562
2015-09-03,95.97908020019533
2015-09-04,94.83726501464844
2015-09-08,97.51080322265624
2015-09-09,96.41539764404295
2015-09-10,97.46440887451172
2015-09-11,98.0028305053711
2015-09-14,97.70577239990234
2015-09-15,98.8568878173828
2015-09-16,99.41387176513672
2015-09-17,99.45101928710938
2015-09-18,98.03653717041016
2015-09-21,98.34362030029295
2015-09-22,96.87329864501952
2015-09-23,96.94776153564452
2015-09-24,96.59412384033205
2015-09-25,95.77523803710938
2015-09-28,93.0486297607422
2015-09-29,92.56471252441406
2015-09-30,94.69576263427734
2015-10-01,95.1238250732422
2015-10-02,96.78955078125
2015-10-05,98.17611694335938
2015-10-06,97.71083068847656
2015-10-07,98.29706573486328
2015-10-08,98.68795013427734
2015-10-09,99.13460540771484
2015-10-12,99.37654876708984
2015-10-13,98.7344741821289
2015-10-14,98.5762710571289
2015-10-15,100.19547271728516
2015-10-16,100.61424255371094
2015-10-19,101.1911849975586
2015-10-20,100.67008209228516
2015-10-21,100.05587768554688
2015-10-22,102.09384155273438
2015-10-23,104.95075225830078
2015-10-26,105.015869140625
2015-10-27,105.22990417480467
2015-10-28,106.10465240478516
2015-10-29,105.93714904785156
2015-10-30,105.46253967285156
2015-11-02,106.6537094116211
2015-11-03,107.02593231201172
2015-11-04,107.03523254394533
2015-11-05,106.74674987792967
2015-11-06,106.82121276855467
2015-11-09,105.68590545654295
