Date,Target_Price,VIX_Close
2015-02-17,98.88424682617188,15.850000381469728
2015-02-18,99.0228500366211,16.739999771118164
2015-02-19,99.5125961303711,16.110000610351562
2015-02-20,100.17792510986328,15.729999542236328
2015-02-23,100.27955627441406,15.050000190734863
2015-02-24,100.35350036621094,14.5
2015-02-25,100.10401153564452,13.640000343322754
2015-02-26,100.61224365234376,13.550000190734863
2015-02-27,100.16869354248048,14.06999969482422
2015-03-02,101.07427215576172,13.899999618530272
2015-03-03,100.60301208496094,13.350000381469728
2015-03-04,100.21487426757812,14.279999732971191
2015-03-05,100.39045715332033,14.010000228881836
2015-03-06,99.25385284423828,14.609999656677246
2015-03-09,99.5403289794922,15.720000267028809
2015-03-10,97.69217681884766,16.469999313354492
2015-03-11,97.1285171508789,16.440000534057617
2015-03-12,97.76614379882812,16.450000762939453
2015-03-13,97.34104919433594,15.470000267028809
2015-03-16,98.59776306152344,15.779999732971191
2015-03-17,98.75487518310548,16.309999465942383
2015-03-18,99.72512817382812,14.600000381469728
2015-03-19,99.87297058105467,14.68000030517578
2015-03-20,100.51945495605467,13.520000457763672
2015-03-23,100.32498168945312,13.520000457763672
2015-03-24,99.96372985839844,13.359999656677246
2015-03-25,97.6760711669922,13.260000228881836
2015-03-26,97.34263610839844,16.639999389648438
2015-03-27,97.73162841796876,15.729999542236328
2015-03-30,98.8523406982422,14.760000228881836
2015-03-31,97.80574035644533,14.970000267028809
2015-04-01,97.29631805419922,15.31999969482422
2015-04-02,97.36116027832033,15.300000190734863
2015-04-06,98.1576690673828,15.75
2015-04-07,97.99098205566406,14.56999969482422
2015-04-08,98.76895904541016,14.59000015258789
2015-04-09,99.3895034790039,14.140000343322754
2015-04-10,99.79702758789062,13.199999809265137
2015-04-13,99.5469741821289,13.170000076293944
2015-04-14,99.25984191894533,14.34000015258789
2015-04-15,99.88035583496094,13.579999923706056
2015-04-16,99.7414779663086,13.270000457763672
2015-04-17,98.18548583984376,13.970000267028809
2015-04-20,99.65811157226562,13.670000076293944
2015-04-21,100.08414459228516,12.75
2015-04-22,100.6305923461914,12.970000267028809
2015-04-23,101.01034545898438,12.960000038146973
2015-04-24,102.381103515625,12.210000038146973
2015-04-27,102.1218032836914,12.34000015258789
