Date,y_true,y_pred
2024-02-29,435.7567443847656,428.0253008631334
2024-03-01,442.3179016113281,430.61521182304745
2024-03-04,440.73968505859375,437.18028767291975
2024-03-05,432.8285217285156,437.3875019506194
2024-03-06,435.5483093261719,429.8576732333367
2024-03-07,442.1591491699219,429.9717935675307
2024-03-08,435.7765808105469,436.70363598171747
2024-03-11,434.1586608886719,433.3791924066372
2024-03-12,440.38232421875,430.1525509745042
2024-03-13,436.9975280761719,434.8756775484907
2024-03-14,435.895751953125,433.8424685312438
2024-03-15,430.7143249511719,431.945411920984
2024-03-18,434.82220458984375,427.19649725460107
2024-03-19,435.9055480957031,429.56629989061724
2024-03-20,441.0739440917969,431.88811099368826
2024-03-21,443.1612243652344,436.5360133811409
2024-03-22,443.6681213378906,439.15631362836024
2024-03-25,442.0579833984375,439.4774342311884
2024-03-26,440.6267395019531,437.70233603714763
2024-03-27,442.1275024414063,435.93652048632424
2024-03-28,441.3125,437.04653200696333
2024-04-01,442.2467956542969,437.0626629402777
2024-04-02,438.43011474609375,437.8021980173507
2024-04-03,439.41412353515625,434.84988945609433
2024-04-04,432.6951904296875,434.7696360565205
2024-04-05,437.79400634765625,429.56937627093424
2024-04-08,437.9232482910156,432.4360277037121
2024-04-09,439.5433349609375,434.13020371984925
2024-04-10,435.7068176269531,435.5310268094108
2024-04-11,442.6642456054688,432.36775881180796
2024-04-12,435.60736083984375,436.99270872698247
2024-04-15,428.4411926269531,432.7773989143661
2024-04-16,428.48095703125,424.9619750991332
2024-04-17,423.2528991699219,423.4640988983537
2024-04-18,420.8376770019531,419.99231008165583
2024-04-19,412.1308288574219,417.39948324822393
2024-04-22,416.2755737304688,410.0682014414869
2024-04-23,422.4875793457031,411.73139964538854
2024-04-24,423.9188537597656,418.44277744268396
2024-04-25,421.8713989257813,421.3331303794693
2024-04-26,428.3815612792969,419.2826560203575
2024-04-29,430.1209411621094,423.3448155954538
2024-04-30,422.0104675292969,426.1374198915582
2024-05-01,418.9591369628906,419.6174732033796
2024-05-02,424.3064575195313,414.8273617918821
2024-05-03,432.8343505859375,418.9386631986508
2024-05-06,437.5753479003906,428.1566489271026
2024-05-07,437.6449279785156,434.3077509908398
2024-05-08,437.3865051269531,434.64818591183206
2024-05-09,438.3406982421875,433.3892775838503
2024-05-10,439.3743591308594,433.64900433600445
2024-05-13,440.38812255859375,434.8116353356308
2024-05-14,443.2208557128906,436.07645566404784
2024-05-15,450.1485290527344,438.7359730725256
2024-05-16,449.2341003417969,445.12962766090817
2024-05-17,449.0154113769531,445.6850614393588
2024-05-20,452.1463012695313,444.6318158233516
2024-05-21,453.0308837890625,446.80764599259777
2024-05-22,452.94140625,448.271360996292
2024-05-23,450.9039306640625,448.30683299890364
2024-05-24,455.1678161621094,446.40506818920215
2024-05-28,456.8873291015625,449.5126938297671
2024-05-29,453.6669921875,452.0704766787184
2024-05-30,448.80670166015625,449.56691837674583
2024-05-31,447.9718017578125,444.39506829460873
2024-06-03,450.3771362304688,442.6764149916016
2024-06-04,451.6095581054688,445.05788112168915
2024-06-05,460.71392822265625,447.0573945720716
2024-06-06,460.5549011230469,454.9198736305879
2024-06-07,460.1473693847656,456.4003883459263
2024-06-10,462.0060119628906,455.1123747850324
2024-06-11,465.1766357421875,455.9798872832925
2024-06-12,471.2694091796875,459.0529504597743
2024-06-13,473.8237915039063,464.9727354748065
2024-06-14,476.27880859375,468.2553135264424
2024-06-17,482.1131286621094,470.32847284650046
2024-06-18,482.26220703125,475.33280733259375
2024-06-20,478.5449523925781,476.3606661232024
2024-06-21,477.2627868652344,472.76453803943144
2024-06-24,471.8293151855469,470.75504641636866
2024-06-25,477.2249450683594,466.2498345733583
2024-06-26,478.2104797363281,470.2828621644093
2024-06-27,479.4449157714844,472.82831274095946
2024-06-28,476.9561462402344,473.94321971897256
2024-07-01,479.7535400390625,471.56983243110875
2024-07-02,484.790771484375,473.10203033577267
2024-07-03,488.8325500488281,478.0165345166096
2024-07-05,493.9295043945313,482.376166692793
2024-07-08,495.1041870117188,487.01358263603464
2024-07-09,495.5322570800781,488.35707804716725
2024-07-10,500.698974609375,488.3228900989488
2024-07-11,489.7185363769531,492.6185335645386
2024-07-12,492.5955505371094,484.13045250521094
2024-07-15,493.9195556640625,484.377017699835
2024-07-16,494.1087036132813,486.86374953903027
2024-07-17,479.6041870117188,487.72430674266064
2024-07-18,477.3344421386719,475.05539808140014
2024-07-19,473.1035461425781,470.15175486063885
2024-07-22,480.1517333984375,467.12165400406224
2024-07-23,478.4593811035156,473.3152368673072
2024-07-24,461.2969055175781,473.7270973139202
2024-07-25,456.2098388671875,458.02937185047625
2024-07-26,460.88873291015625,449.687351978373
2024-07-29,461.8145446777344,453.8093805895514
2024-07-30,455.4731750488281,456.9960290775634
2024-07-31,468.9523010253906,451.8665260392681
2024-08-01,457.5935974121094,461.47374075565307
2024-08-02,446.7326354980469,454.70340346080405
2024-08-05,433.4128112792969,442.30176537125766
2024-08-06,437.5540771484375,428.8004684496172
2024-08-07,432.8154602050781,430.76772003337095
2024-08-08,446.05572509765625,429.68839206250226
2024-08-09,448.38519287109375,440.4959301251801
2024-08-12,449.350830078125,445.50561483791165
2024-08-13,460.5004577636719,445.7617034359518
2024-08-14,460.64984130859375,454.0861478135484
2024-08-15,472.2872619628906,456.0891389112457
2024-08-16,472.8945007324219,465.1875470743325
2024-08-19,479.1064453125,467.70100329558585
2024-08-20,478.10101318359375,472.40944349745035
2024-08-21,480.3309020996094,472.44234739127563
2024-08-22,472.7153015136719,473.88680157907214
