Date,y_true,y_pred_hybrid,y_pred_no_vix
2024-01-02,399.61572265625,404.3544742669957,403.75446
2024-01-03,395.38720703125,398.5140739186156,397.64697
2024-01-04,393.3523864746094,393.43400114654327,392.61002
2024-01-05,393.8189086914063,393.02460689225165,390.39734
2024-01-08,401.9583129882813,392.1686402838199,390.96518
2024-01-09,402.75238037109375,401.88134095722745,398.1012
2024-01-10,405.4821166992188,401.7833174399208,400.94504
2024-01-11,406.3258361816406,404.4863980174232,402.7575
2024-01-12,406.53424072265625,405.5358284310136,403.31223
2024-01-16,406.4945068359375,405.0812890336736,403.1975
2024-01-17,404.20159912109375,404.4071720863917,402.99954
2024-01-18,409.93890380859375,403.0418446001949,401.16577
2024-01-19,418.06842041015625,408.9558285018608,405.38287
2024-01-22,418.6143493652344,418.89628816122735,413.7314
2024-01-23,420.3514099121094,416.7212545007274,416.20148
2024-01-24,422.6840515136719,420.1188229528125,417.02914
2024-01-25,423.2002258300781,422.0222980789807,418.69424
2024-01-26,420.6789855957031,421.2637540113656,419.4626
2024-01-29,424.9869079589844,418.89822250619386,417.42816
2024-01-30,422.1580200195313,424.155111815208,420.3394
2024-01-31,413.8895263671875,420.4725181154184,419.28677
2024-02-01,418.7632751464844,412.49411797472135,411.83432
2024-02-02,425.8405456542969,418.16029170526855,413.81528
2024-02-05,425.2846984863281,425.779644610092,421.40646
2024-02-06,424.4310302734375,422.68969666131306,422.9652
2024-02-07,428.7985534667969,423.7822650871675,421.45663
2024-02-08,429.5926818847656,427.9398651842823,424.16687
2024-02-09,433.8211364746094,428.0162666302856,425.7144
2024-02-12,432.123779296875,432.8499868125202,429.22488
2024-02-13,425.3839416503906,429.5805740611198,428.5789
2024-02-14,430.01947021484375,423.29069616792736,422.28412
2024-02-15,431.2999572753906,429.14346007021936,424.4508
2024-02-16,427.3890380859375,431.0623760312607,427.18896
2024-02-20,424.1630859375,425.63063856656936,424.54852
2024-02-21,422.4656677246094,422.6773526873257,420.74005
2024-02-22,434.8336181640625,420.680543659438,418.61008
2024-02-23,433.5531311035156,435.5523787487905,428.81445
2024-02-26,433.3248596191406,431.07799365632974,431.0614
2024-02-27,434.3670959472656,431.0896498741615,429.89423
2024-02-28,432.0543212890625,433.5116267164277,429.88455
2024-02-29,435.7567443847656,430.1535294550945,428.0253
2024-03-01,442.3179016113281,433.8053494345181,430.6152
2024-03-04,440.73968505859375,442.6957556698628,437.1803
2024-03-05,432.8285217285156,437.0667702624748,437.3875
2024-03-06,435.5483093261719,431.5441303925933,429.85767
2024-03-07,442.1591491699219,434.6654143073658,429.9718
2024-03-08,435.7765808105469,441.7807143725139,436.70364
2024-03-11,434.1586608886719,433.6645562870987,433.37918
2024-03-12,440.38232421875,431.9965342412257,430.15256
2024-03-13,436.9975280761719,440.3534603382081,434.87567
2024-03-14,435.895751953125,435.00067736218335,433.84247
2024-03-15,430.7143249511719,434.5023424344625,431.9454
2024-03-18,434.82220458984375,428.2317939645827,427.1965
2024-03-19,435.9055480957031,433.3168774589805,429.5663
2024-03-20,441.0739440917969,434.2493130267528,431.88812
2024-03-21,443.1612243652344,440.2912422055264,436.536
2024-03-22,443.6681213378906,441.410581471149,439.1563
2024-03-25,442.0579833984375,442.7305101340371,439.47745
2024-03-26,440.6267395019531,438.8544840856353,437.70233
2024-03-27,442.1275024414063,440.6316080769279,435.93652
2024-03-28,441.3125,439.8879424606209,437.04654
2024-04-01,442.2467956542969,440.3484699121624,437.06265
2024-04-02,438.43011474609375,439.9573604666886,437.80222
2024-04-03,439.41412353515625,437.1762042907883,434.84988
2024-04-04,432.6951904296875,437.9488071379316,434.76965
2024-04-05,437.79400634765625,431.2627925405237,429.56937
2024-04-08,437.9232482910156,436.37974429489225,432.43604
2024-04-09,439.5433349609375,436.0608094766086,434.13022
2024-04-10,435.7068176269531,438.7270751705052,435.53104
2024-04-11,442.6642456054688,432.7907469404746,432.36777
2024-04-12,435.60736083984375,442.28802060106926,436.9927
2024-04-15,428.4411926269531,432.13125794068696,432.7774
2024-04-16,428.48095703125,426.1595615236951,424.96198
2024-04-17,423.2528991699219,425.29837254743177,423.4641
2024-04-18,420.8376770019531,423.1503191286064,419.9923
2024-04-19,412.1308288574219,418.47559809005975,417.39948
2024-04-22,416.2755737304688,409.6069415995551,410.0682
2024-04-23,422.4875793457031,416.3702515191538,411.7314
2024-04-24,423.9188537597656,422.67219266241335,418.44278
2024-04-25,421.8713989257813,421.39734184833577,421.33313
2024-04-26,428.3815612792969,418.76092463266326,419.28265
2024-04-29,430.1209411621094,428.37703196514536,423.34482
2024-04-30,422.0104675292969,426.9551516525227,426.13742
2024-05-01,418.9591369628906,420.8708107018146,419.61746
2024-05-02,424.3064575195313,416.8319083697295,414.82736
2024-05-03,432.8343505859375,425.141073378408,418.93866
2024-05-06,437.5753479003906,431.7216756316976,428.15665
2024-05-07,437.6449279785156,437.3018491357733,434.30774
2024-05-08,437.3865051269531,436.4985583973296,434.6482
2024-05-09,438.3406982421875,436.8098004207223,433.38928
2024-05-10,439.3743591308594,437.4677576588252,433.64902
2024-05-13,440.38812255859375,438.26296805796176,434.81165
2024-05-14,443.2208557128906,438.7729877798424,436.07645
2024-05-15,450.1485290527344,441.7117256710262,438.73596
2024-05-16,449.2341003417969,449.5674146244558,445.12964
2024-05-17,449.0154113769531,448.44940702131777,445.68506
2024-05-20,452.1463012695313,448.1633362053268,444.6318
2024-05-21,453.0308837890625,451.3909433823649,446.80765
2024-05-22,452.94140625,451.1784118648784,448.27136
2024-05-23,450.9039306640625,451.0949656619693,448.30682
2024-05-24,455.1678161621094,449.7257613646738,446.40506
2024-05-28,456.8873291015625,453.4305419331937,449.51266
2024-05-29,453.6669921875,456.1866989446179,452.0705
2024-05-30,448.80670166015625,451.1426450216641,449.56693
2024-05-31,447.9718017578125,447.0544128825902,444.39508
2024-06-03,450.3771362304688,447.6696272080544,442.67642
2024-06-04,451.6095581054688,449.4766860234465,445.0579
2024-06-05,460.71392822265625,449.72304668062776,447.0574
2024-06-06,460.5549011230469,459.8247924298233,454.9199
2024-06-07,460.1473693847656,458.2725387265537,456.4004
2024-06-10,462.0060119628906,458.1402857581788,455.11237
2024-06-11,465.1766357421875,460.7210234790316,455.97992
2024-06-12,471.2694091796875,464.2567063387743,459.05298
2024-06-13,473.8237915039063,469.5329790863565,464.97275
2024-06-14,476.27880859375,473.33820281959015,468.2553
2024-06-17,482.1131286621094,474.0338784640441,470.32846
2024-06-18,482.26220703125,482.0648691971735,475.33282
2024-06-20,478.5449523925781,480.61881189873554,476.36066
2024-06-21,477.2627868652344,477.1022552780747,472.76453
2024-06-24,471.8293151855469,475.8461265026504,470.75504
2024-06-25,477.2249450683594,469.1472053624978,466.24985
2024-06-26,478.2104797363281,477.1653985204069,470.2829
2024-06-27,479.4449157714844,476.7891535222138,472.8283
2024-06-28,476.9561462402344,477.5257977500291,473.9432
2024-07-01,479.7535400390625,474.9862216893522,471.56982
2024-07-02,484.790771484375,478.27886982762834,473.10202
2024-07-03,488.8325500488281,483.1126281898953,478.01654
2024-07-05,493.9295043945313,488.1186882301422,482.37616
2024-07-08,495.1041870117188,491.1868088402468,487.01358
2024-07-09,495.5322570800781,493.82581341674086,488.3571
2024-07-10,500.698974609375,493.5944068563695,488.3229
2024-07-11,489.7185363769531,500.7769143229246,492.61853
2024-07-12,492.5955505371094,485.6224931368654,484.13046
2024-07-15,493.9195556640625,492.3795575318877,484.37698
2024-07-16,494.1087036132813,492.5842990498745,486.86377
2024-07-17,479.6041870117188,491.6554059727254,487.7243
2024-07-18,477.3344421386719,475.6150133528412,475.0554
2024-07-19,473.1035461425781,476.9408790197247,470.15176
2024-07-22,480.1517333984375,468.7477625304064,467.12164
2024-07-23,478.4593811035156,480.69451622284777,473.31525
2024-07-24,461.2969055175781,474.9494384205597,473.7271
2024-07-25,456.2098388671875,457.62046211537887,458.0294
2024-07-26,460.88873291015625,451.6230265211543,449.68735
2024-07-29,461.8145446777344,462.0004370656716,453.8094
2024-07-30,455.4731750488281,457.9032834592122,456.99603
2024-07-31,468.9523010253906,452.796070043564,451.86655
2024-08-01,457.5935974121094,467.950197876748,461.47375
2024-08-02,446.7326354980469,453.27283855532,454.7034
2024-08-05,433.4128112792969,442.1075636444732,442.30176
2024-08-06,437.5540771484375,430.5299029858559,428.80048
2024-08-07,432.8154602050781,433.05758366889546,430.76773
2024-08-08,446.05572509765625,435.2520864619217,429.6884
2024-08-09,448.38519287109375,444.8410848796517,440.49594
2024-08-12,449.350830078125,446.6332381141638,445.5056
