Horizon,Model,Block,n_obs,RMSE,MAE,MDA
5,ARIMAX,7,22,0.03767,0.03139,0.31818
5,ARIMAX,8,22,0.03645,0.03132,0.45455
5,ARIMAX,9,20,0.02121,0.01728,0.8
5,ARIMAX,10,23,0.01879,0.01397,0.56522
5,ARIMAX,11,20,0.02823,0.02384,0.7
5,ARIMAX,12,21,0.02048,0.01683,0.52381
5,LSTM,1,21,0.02309,0.01955,0.47619
5,LSTM,2,20,0.01286,0.01082,0.75
5,LSTM,3,20,0.01356,0.01156,0.45
5,LSTM,4,22,0.02639,0.02115,0.45455
5,LSTM,5,22,0.01775,0.01531,0.77273
5,LSTM,6,19,0.02167,0.01878,0.78947
5,LSTM,7,22,0.04011,0.03407,0.22727
5,LSTM,8,22,0.0364,0.0319,0.5
5,LSTM,9,20,0.02101,0.01729,0.75
5,LSTM,10,23,0.01761,0.01375,0.6087
5,LSTM,11,20,0.02611,0.02181,0.7
5,LSTM,12,21,0.02186,0.0175,0.52381
5,LSTM_FULL,1,21,0.02081,0.01698,0.71429
5,LSTM_FULL,2,20,0.01482,0.01263,0.55
5,LSTM_FULL,3,20,0.01334,0.01135,0.45
5,LSTM_FULL,4,22,0.02694,0.02209,0.45455
5,LSTM_FULL,5,22,0.01846,0.01551,0.81818
5,LSTM_FULL,6,19,0.01904,0.01718,0.78947
5,LSTM_FULL,7,22,0.03878,0.03251,0.31818
5,LSTM_FULL,8,22,0.03509,0.03059,0.5
5,LSTM_FULL,9,20,0.01985,0.01662,0.75
5,LSTM_FULL,10,23,0.01853,0.01366,0.6087
5,LSTM_FULL,11,20,0.02653,0.02225,0.65
5,LSTM_FULL,12,21,0.02172,0.01814,0.47619
5,LSTM_SENT,1,21,0.01999,0.01609,0.90476
5,LSTM_SENT,2,20,0.01283,0.01065,0.8
5,LSTM_SENT,3,20,0.01357,0.01151,0.45
5,LSTM_SENT,4,22,0.02637,0.0211,0.45455
5,LSTM_SENT,5,22,0.01755,0.01486,0.81818
5,LSTM_SENT,6,19,0.02213,0.01922,0.78947
5,LSTM_SENT,7,22,0.03989,0.03409,0.22727
5,LSTM_SENT,8,22,0.0368,0.0317,0.36364
5,LSTM_SENT,9,20,0.02192,0.0183,0.7
5,LSTM_SENT,10,23,0.01795,0.0141,0.6087
5,LSTM_SENT,11,20,0.02445,0.02045,0.7
5,LSTM_SENT,12,21,0.02141,0.01695,0.52381
5,RW,1,21,0.02296,0.01912,0.0
5,RW,2,20,0.01451,0.01243,0.0
5,RW,3,20,0.01332,0.01113,0.0
5,RW,4,22,0.02519,0.0198,0.0
5,RW,5,22,0.01962,0.01665,0.0
5,RW,6,19,0.02397,0.02061,0.0
5,RW,7,22,0.03669,0.03077,0.0
5,RW,8,22,0.03669,0.03095,0.0
5,RW,9,20,0.02319,0.0191,0.0
5,RW,10,23,0.01868,0.01359,0.0
5,RW,11,20,0.02717,0.02315,0.0
5,RW,12,21,0.01992,0.01709,0.0
5,SARIMAX,1,21,0.02235,0.01862,0.61905
5,SARIMAX,2,20,0.01414,0.01182,0.75
5,SARIMAX,3,20,0.01334,0.01126,0.45
5,SARIMAX,4,22,0.02574,0.01994,0.45455
5,SARIMAX,5,22,0.0179,0.01501,0.77273
5,SARIMAX,6,19,0.0235,0.02029,0.47368
5,SARIMAX,7,22,0.03767,0.03139,0.31818
5,SARIMAX,8,22,0.03645,0.03132,0.45455
5,SARIMAX,9,20,0.02121,0.01728,0.8
5,SARIMAX,10,23,0.01879,0.01397,0.56522
5,SARIMAX,11,20,0.02823,0.02384,0.7
5,SARIMAX,12,21,0.02048,0.01683,0.52381
10,ARIMA,1,21,0.02893,0.02406,1.0
10,ARIMA,2,20,0.01232,0.01013,0.8
10,ARIMA,3,20,0.01498,0.0121,0.55
10,ARIMA,4,22,0.03641,0.03283,0.45455
10,ARIMA,5,22,0.02971,0.02456,0.86364
10,ARIMA,6,19,0.03035,0.02503,1.0
10,ARIMA,7,22,0.0591,0.05185,0.09091
10,ARIMA,8,22,0.0494,0.04115,0.59091
10,ARIMA,9,20,0.0281,0.02139,0.9
10,ARIMA,10,23,0.02075,0.01816,0.69565
10,ARIMA,11,20,0.02492,0.02342,0.7
10,ARIMA,12,21,0.03008,0.0244,0.42857
10,ARIMAX,1,21,0.03221,0.02915,0.57143
10,ARIMAX,2,20,0.01342,0.01091,0.8
10,ARIMAX,3,20,0.01441,0.01163,0.55
10,ARIMAX,4,22,0.03594,0.03209,0.45455
10,ARIMAX,5,22,0.03043,0.02499,0.86364
10,ARIMAX,6,19,0.03402,0.02879,0.94737
10,ARIMAX,7,22,0.058,0.05029,0.13636
10,ARIMAX,8,22,0.04849,0.04082,0.59091
10,ARIMAX,9,20,0.02762,0.02138,0.85
10,ARIMAX,10,23,0.01879,0.01664,0.69565
10,ARIMAX,11,20,0.02841,0.02675,0.7
10,ARIMAX,12,21,0.03112,0.02571,0.42857
10,LSTM,1,21,0.03231,0.02757,0.90476
10,LSTM,2,20,0.01302,0.01084,0.8
10,LSTM,3,20,0.01515,0.01207,0.55
10,LSTM,4,22,0.03732,0.03326,0.45455
10,LSTM,5,22,0.0287,0.0237,0.86364
10,LSTM,6,19,0.0294,0.02422,1.0
10,LSTM,7,22,0.06168,0.05454,0.09091
10,LSTM,8,22,0.04753,0.04009,0.59091
10,LSTM,9,20,0.02689,0.01987,0.9
10,LSTM,10,23,0.02055,0.01784,0.69565
10,LSTM,11,20,0.02332,0.02223,0.7
10,LSTM,12,21,0.03133,0.0256,0.42857
10,LSTM_FULL,1,21,0.0291,0.02515,1.0
10,LSTM_FULL,2,20,0.0116,0.00991,0.8
10,LSTM_FULL,3,20,0.0164,0.01323,0.55
10,LSTM_FULL,4,22,0.03808,0.03386,0.45455
10,LSTM_FULL,5,22,0.02627,0.02129,0.86364
10,LSTM_FULL,6,19,0.02851,0.02328,1.0
10,LSTM_FULL,7,22,0.06531,0.0578,0.09091
10,LSTM_FULL,8,22,0.04769,0.04004,0.59091
10,LSTM_FULL,9,20,0.0231,0.01832,0.9
10,LSTM_FULL,10,23,0.01973,0.01706,0.69565
10,LSTM_FULL,11,20,0.02256,0.02112,0.7
10,LSTM_FULL,12,21,0.03208,0.02663,0.42857
10,LSTM_SENT,1,21,0.03099,0.02661,1.0
10,LSTM_SENT,2,20,0.01148,0.00978,0.8
10,LSTM_SENT,3,20,0.01551,0.01238,0.55
10,LSTM_SENT,4,22,0.0381,0.03347,0.45455
10,LSTM_SENT,5,22,0.02771,0.02262,0.86364
10,LSTM_SENT,6,19,0.02957,0.02435,1.0
10,LSTM_SENT,7,22,0.06147,0.05406,0.09091
10,LSTM_SENT,8,22,0.05067,0.04304,0.59091
10,LSTM_SENT,9,20,0.02736,0.02082,0.9
10,LSTM_SENT,10,23,0.01989,0.01731,0.69565
10,LSTM_SENT,11,20,0.02122,0.01979,0.7
10,LSTM_SENT,12,21,0.03169,0.02608,0.42857
10,RW,1,21,0.03417,0.03017,0.0
10,RW,2,20,0.01584,0.01256,0.0
10,RW,3,20,0.01409,0.01206,0.0
10,RW,4,22,0.03536,0.03191,0.0
10,RW,5,22,0.03439,0.02861,0.0
10,RW,6,19,0.03555,0.03103,0.0
10,RW,7,22,0.05368,0.04653,0.0
10,RW,8,22,0.05095,0.04199,0.0
10,RW,9,20,0.03298,0.02668,0.0
10,RW,10,23,0.02423,0.02065,0.0
10,RW,11,20,0.02844,0.02547,0.0
10,RW,12,21,0.02742,0.02165,0.0
10,SARIMAX,1,21,0.03221,0.02915,0.57143
10,SARIMAX,2,20,0.01342,0.01091,0.8
10,SARIMAX,3,20,0.01441,0.01163,0.55
10,SARIMAX,4,22,0.03594,0.03209,0.45455
10,SARIMAX,5,22,0.03043,0.02499,0.86364
10,SARIMAX,6,19,0.03402,0.02879,0.94737
10,SARIMAX,7,22,0.058,0.05029,0.13636
10,SARIMAX,8,22,0.04849,0.04082,0.59091
10,SARIMAX,9,20,0.02762,0.02138,0.85
10,SARIMAX,10,23,0.01879,0.01664,0.69565
10,SARIMAX,11,20,0.02841,0.02675,0.7
10,SARIMAX,12,21,0.03112,0.02571,0.42857
20,ARIMA,1,21,0.03802,0.03236,1.0
20,ARIMA,2,20,0.01545,0.01138,0.9
20,ARIMA,3,20,0.04064,0.03207,0.2
20,ARIMA,4,22,0.04405,0.03934,0.63636
20,ARIMA,5,22,0.04237,0.04138,1.0
20,ARIMA,6,19,0.04547,0.04068,0.63158
20,ARIMA,7,22,0.07932,0.06312,0.22727
20,ARIMA,8,22,0.02233,0.01722,0.86364
20,ARIMA,9,20,0.03116,0.02559,1.0
20,ARIMA,10,23,0.01813,0.01516,0.95652
20,ARIMA,11,20,0.03119,0.02512,1.0
20,ARIMA,12,21,0.03155,0.02619,0.33333
20,ARIMAX,1,21,0.04463,0.03972,1.0
20,ARIMAX,2,20,0.01707,0.01373,0.9
20,ARIMAX,3,20,0.0385,0.03037,0.2
20,ARIMAX,4,22,0.04322,0.03841,0.63636
20,ARIMAX,5,22,0.04572,0.0446,1.0
20,ARIMAX,6,19,0.04883,0.04267,0.57895
20,ARIMAX,7,22,0.076,0.06066,0.22727
20,ARIMAX,8,22,0.02002,0.01647,0.86364
20,ARIMAX,9,20,0.02746,0.0222,1.0
20,ARIMAX,10,23,0.01427,0.01328,0.95652
20,ARIMAX,11,20,0.02643,0.02146,1.0
20,ARIMAX,12,21,0.03201,0.02707,0.33333
20,LSTM,1,21,0.04691,0.04155,0.80952
20,LSTM,2,20,0.02019,0.01698,0.9
20,LSTM,3,20,0.04303,0.03506,0.2
20,LSTM,4,22,0.04252,0.03837,0.63636
20,LSTM,5,22,0.04107,0.03987,1.0
20,LSTM,6,19,0.04483,0.04001,0.63158
20,LSTM,7,22,0.07938,0.06299,0.22727
20,LSTM,8,22,0.02126,0.01725,0.86364
20,LSTM,9,20,0.02844,0.0231,1.0
20,LSTM,10,23,0.01788,0.01486,0.95652
20,LSTM,11,20,0.03033,0.0236,1.0
20,LSTM,12,21,0.0366,0.03023,0.33333
20,LSTM_FULL,1,21,0.03898,0.03333,1.0
20,LSTM_FULL,2,20,0.0136,0.00988,0.9
20,LSTM_FULL,3,20,0.04247,0.03445,0.2
20,LSTM_FULL,4,22,0.04308,0.03973,0.63636
20,LSTM_FULL,5,22,0.03767,0.03615,1.0
20,LSTM_FULL,6,19,0.0447,0.04034,0.63158
20,LSTM_FULL,7,22,0.08826,0.07141,0.22727
20,LSTM_FULL,8,22,0.01885,0.01446,0.86364
20,LSTM_FULL,9,20,0.02644,0.02152,1.0
20,LSTM_FULL,10,23,0.01807,0.0149,0.95652
20,LSTM_FULL,11,20,0.02292,0.01682,1.0
20,LSTM_FULL,12,21,0.03612,0.03071,0.33333
20,LSTM_SENT,1,21,0.0405,0.03423,1.0
20,LSTM_SENT,2,20,0.01326,0.00968,0.9
20,LSTM_SENT,3,20,0.04444,0.03633,0.2
20,LSTM_SENT,4,22,0.04329,0.03929,0.63636
20,LSTM_SENT,5,22,0.03893,0.03733,1.0
20,LSTM_SENT,6,19,0.04426,0.03992,0.63158
